School Name,Student Size,Endowment,In-State Tuition,Median Salary (1 Year After Graduation),Completion Rate,Overall Admission Rate,Carnegie Classification (Undergraduate),Carnegie Size Setting,Average SAT Score,School Locale,Student-Faculty Ratio,Percent Male Enrollment,Percent Female Enrollment,Asian Enrollment,Black Enrollment,White Enrollment,Hispanic Enrollment,Native American Enrollment,Native Hawaiian Enrollment,Diversity Index,Gender Shannon Index
Southern Arkansas University Main Campus,2787,62613250,9680,37011,0.4496,0.6361,10,14,1088,33,15,0.4395,0.5605,0.0068,0.2257,0.6261,0.0657,0.0032,0.0004,0.55268517,0.989412828
Azusa Pacific University,3344,89461386,42330,50824,0.7174,0.87,11,14,1132,21,10,0.3185,0.6815,0.134,0.0646,0.2793,0.3765,0.0033,0.0066,0.75805565,0.902742798
Biola University,3474,152137916,44382,36740,0.6974,0.5663,13,14,1250,21,13,0.3912,0.6088,0.1422,0.0285,0.4171,0.2216,0.002,0.0035,0.75587169,0.965569586
California Lutheran University,2510,143062043,48012,43190,0.7257,0.8718,13,14,1258,12,14,0.4618,0.5382,0.055,0.0462,0.3817,0.4004,0.0016,0.0044,0.68880359,0.995785418
Chapman University,7665,608097000,60672,41757,0.8115,0.7252,14,14,1316,12,12,0.3977,0.6023,0.1614,0.0222,0.4933,0.179,0.0017,0.003,0.69805942,0.969589271
Claremont McKenna College,1383,1224986000,60715,68541,0.9205,0.1035,14,11,1514,21,8,0.4902,0.5098,0.1555,0.0593,0.3543,0.1634,0.0007,0.0022,0.82006988,0.999722869
Dominican University of California,1139,30059220,49426,66880,0.713,0.9318,13,10,1192,13,9,0.2774,0.7226,0.3143,0.0518,0.2529,0.2792,0.0026,0.0044,0.7565951,0.851883894
Harvey Mudd College,906,401525407,62817,107923,0.9294,0.1336,14,8,1539,21,8,0.5055,0.4945,0.2241,0.0596,0.2528,0.2097,0.0044,0.0022,0.8383209,0.999912715
University of La Verne,3363,122161420,47000,39922,0.6196,0.7351,7,12,1116,21,11,0.3946,0.6054,0.0508,0.0758,0.1653,0.623,0.0018,0.0048,0.57619435,0.96770402
Loyola Marymount University,7138,637303000,55926,45330,0.8227,0.4131,15,14,1378,11,11,0.4688,0.5312,0.1004,0.0709,0.4116,0.2358,0.0004,0.0008,0.75987603,0.99718942
Occidental College,1935,575933105,60566,37306,0.8525,0.394,14,11,1434,11,9,0.4109,0.5891,0.1349,0.0398,0.4884,0.1664,0,0,0.71399443,0.976970636
Pacific Union College,772,31215552,33678,62855,0.5332,0.4846,11,8,1075,41,13,0.3601,0.6399,0.2539,0.0635,0.2021,0.2979,0.0013,0.0065,0.80186978,0.942766165
University of the Pacific,3266,568233594,53682,51476,0.7479,0.9323,13,14,1276,11,14,0.4599,0.5401,0.3573,0.0395,0.1849,0.2563,0.0018,0.0052,0.77086848,0.995355277
Pepperdine University,3656,1200868000,63142,49653,0.8601,0.4871,14,14,1399,21,13,0.4152,0.5848,0.14,0.0391,0.4551,0.1841,0.0019,0.0022,0.73785392,0.979150411
Pomona College,1699,2764972000,59238,41100,0.9479,0.0702,14,11,1520,21,7,0.4526,0.5474,0.1736,0.1006,0.3161,0.1589,0.0024,0.0047,0.83454641,0.993507476
University of Redlands,2301,232004342,55678,51944,0.7229,0.8187,12,14,1215,13,10,0.409,0.591,0.0508,0.0461,0.3768,0.4224,0.007,0.0052,0.67481811,0.975972395
University of San Francisco,5980,502679000,55532,59470,0.7511,0.7118,15,13,1323,11,13,0.3542,0.6458,0.2602,0.0773,0.2388,0.2132,0.0017,0.0035,0.82382585,0.937763182
William Jessup University,1123,5290818,37150,39364,0.6456,0.6592,13,10,1130,41,11,0.4132,0.5868,0.0329,0.0828,0.4604,0.2467,0.0107,0.016,0.71886221,0.978150248
Santa Clara University,6103,1471579000,57534,72660,0.9196,0.5211,14,14,1379,12,12,0.5166,0.4834,0.2104,0.0311,0.3983,0.1847,0.0007,0.0018,0.76200392,0.999204756
Scripps College,1073,460616238,60712,37612,0.8906,0.2791,14,8,1467,21,10,0,1,0.1286,0.0401,0.5405,0.1295,0,0,0.67294353,0
Southern California Institute of Architecture,245,5221000,50690,51306,0.8203,0.5984,13,6,1100,11,15,0.6041,0.3959,0.1061,0.0204,0.1592,0.1265,0,0,0.94697974,0.968501666
University of Southern California,20505,7400081000,64726,63275,0.9262,0.1202,15,16,1520,11,9,0.4788,0.5212,0.2456,0.0646,0.2992,0.175,0.0014,0.0026,0.81535312,0.998702801
Thomas Aquinas College,516,29370705,27000,33084,0.8049,0.8473,14,8,1328,42,11,0.4845,0.5155,0.0194,0,0.6202,0.1977,0,0.0019,0.5758867,0.999306674
Westmont College,1284,94513072,50066,37671,0.7455,0.8199,12,11,1380,22,10,0.3886,0.6114,0.0693,0.0202,0.5226,0.2313,0.0023,0.0023,0.66816844,0.963890134
Whittier College,1124,126453835,49864,27082,0.6935,0.7545,12,11,1231,21,10,0.4457,0.5543,0.0676,0.0489,0.2625,0.444,0,0.0044,0.72697742,0.991475654
Adams State University,1307,62674,9776,40358,0.3483,0.9918,7,10,1066,33,13,0.5669,0.4331,0.0122,0.0903,0.3718,0.3749,0.0153,0.0069,0.71263012,0.987047309
University of Colorado Denver/Anschutz Medical Campus,10922,,9562,53987,0.502,0.7458,9,15,1150,11,17,0.4382,0.5618,0.1046,0.062,0.4102,0.2629,0.0038,0.0014,0.74781799,0.988951771
University of Colorado Colorado Springs,9102,,9129,44402,0.4894,0.8477,7,12,1180,11,15,0.4601,0.5399,0.0385,0.0449,0.5711,0.1953,0.0041,0.0031,0.63217802,0.995401542
University of Colorado Boulder,30598,,13106,48932,0.7035,0.8073,14,16,1301,12,18,0.5402,0.4598,0.0619,0.0175,0.6831,0.1304,0.0016,0.0009,0.512229,0.995332058
Colorado College,2174,822930608,65028,33261,0.8653,0.163,14,11,1402,11,10,0.4453,0.5547,0.0455,0.0299,0.6688,0.1099,0.0032,0.0018,0.53765081,0.991349349
Colorado School of Mines,5662,322221638,20040,76390,0.8456,0.58,14,13,1403,21,17,0.6793,0.3207,0.0578,0.0115,0.6948,0.1235,0.0048,0.0005,0.49850433,0.905141058
Colorado State University-Fort Collins,25150,549312222,12874,43283,0.7086,0.9077,12,16,1199,12,17,0.4552,0.5448,0.0289,0.0223,0.7071,0.156,0.0054,0.0012,0.47431049,0.994201133
University of Denver,5986,990340196,56439,49181,0.7566,0.7768,14,16,1348,11,8,0.446,0.554,0.0403,0.0251,0.6853,0.133,0.0043,0.0007,0.51040183,0.991569769
Fort Lewis College,3113,15010898,9212,30214,0.4585,0.9098,11,13,1147,32,15,0.4578,0.5422,0.0058,0.0106,0.3958,0.1404,0.3235,0.0019,0.71882834,0.994855464
Colorado Mesa University,7654,42109580,9297,42536,0.3931,0.8176,12,13,1062,13,18,0.466,0.534,0.0153,0.0188,0.6577,0.2136,0.0051,0.0043,0.52117372,0.996661914
Metropolitan State University of Denver,14947,19765432,10260,44523,0.3686,0.9791,7,15,1025,11,16,0.4468,0.5532,0.0462,0.073,0.4438,0.3548,0.0079,0.0021,0.66962826,0.991818175
University of Northern Colorado,6024,101029881,11332,41691,0.5702,0.7854,11,13,1106,12,14,0.3327,0.6673,0.0214,0.0443,0.6116,0.2533,0.0032,0.0015,0.55935161,0.917661198
Regis University,2239,86329241,42220,71079,0.5613,0.7609,8,13,1149,11,9,0.347,0.653,0.063,0.0509,0.498,0.2957,0.0049,0.0036,0.65796073,0.931360226
Colorado State University Pueblo,3008,24292591,9245,43952,0.4279,0.9879,11,13,1031,12,15,0.4734,0.5266,0.0203,0.0622,0.4438,0.3467,0.008,0.005,0.67847074,0.997957449
Western Colorado University,1673,9021836,10813,33273,0.5489,0.9185,12,11,1154,33,16,0.5816,0.4184,0.0126,0.0341,0.7047,0.1201,0.0096,0.0024,0.48755441,0.98070125
University of Bridgeport,1604,2368000,35760,46639,0.5295,0.8151,7,13,1090,12,14,0.2968,0.7032,0.0374,0.3435,0.2338,0.2955,0.0069,0,0.73857869,0.877343997
Central Connecticut State University,7500,89049879,12106,47818,0.5909,0.7671,11,13,1061,21,14,0.5455,0.4545,0.0529,0.1315,0.5621,0.1796,0.0009,0.0008,0.63169532,0.994018249
Connecticut College,1915,416635000,63005,44155,0.833,0.404,14,11,1427,13,10,0.3849,0.6151,0.0334,0.0439,0.6742,0.117,0,0.0005,0.52872234,0.961429348
University of Connecticut,18768,565628728,19434,53816,0.8393,0.5451,14,17,1340,21,16,0.4714,0.5286,0.1313,0.0696,0.5131,0.1506,0.001,0.0003,0.69196309,0.997638578
Eastern Connecticut State University,3534,16569400,12910,37509,0.6012,0.7383,13,14,1079,31,14,0.4134,0.5866,0.0269,0.0891,0.652,0.1296,0.0008,0.0008,0.54943614,0.978251335
Fairfield University,4706,357565000,54455,61503,0.8121,0.5218,14,14,1325,21,12,0.4201,0.5799,0.0208,0.0115,0.8094,0.0661,0.0004,0.0002,0.33993734,0.981500432
University of Hartford,3876,191364000,46148,47333,0.5933,0.8275,12,14,1201,12,8,0.4389,0.5611,0.0431,0.1705,0.5041,0.154,0.0044,0.0015,0.69121772,0.989201263
University of New Haven,4765,86882337,44184,40866,0.6302,0.9124,12,14,1180,21,19,0.4344,0.5656,0.0323,0.1129,0.5752,0.1931,0.0025,0.0002,0.61806136,0.987547257
Quinnipiac University,6021,718760681,51790,56569,0.7711,0.8379,10,14,1216,21,11,0.3847,0.6153,0.0382,0.0437,0.7427,0.1051,0.0008,0.0002,0.43398109,0.961293958
University of Saint Joseph,821,40425000,44366,67243,0.638,0.7485,11,10,1170,21,8,0.2667,0.7333,0.0597,0.1084,0.6041,0.1766,0,0,0.58856098,0.836689386
Trinity College,2141,795976337,63930,51307,0.832,0.3614,14,11,1387,12,8,0.4858,0.5142,0.042,0.0612,0.6095,0.0859,0.0019,0.0005,0.61561764,0.999418112
Wesleyan University,3006,1564521000,64322,41304,0.9216,0.1443,14,11,1426,13,7,0.4627,0.5373,0.0902,0.0549,0.5442,0.1058,0.0003,0.0007,0.68150209,0.995981854
Western Connecticut State University,3679,23411311,12345,40889,0.5215,0.8351,11,13,1126,13,11,0.4846,0.5154,0.0478,0.0881,0.5216,0.2721,0.0033,0,0.64383769,0.999315593
Yale University,6639,41383260000,62250,64379,0.9751,0.0457,14,17,1547,12,6,0.4898,0.5102,0.2238,0.083,0.3514,0.1481,0.0032,0.0015,0.7975965,0.999699783
Delaware State University,4588,36063061,8358,37057,0.4901,0.5492,10,14,939,13,16,0.3435,0.6565,0.0076,0.714,0.0811,0.0732,0.0017,0.0002,0.47820786,0.928128651
University of Delaware,18665,1781176682,15410,51892,0.8079,0.7381,14,16,1290,21,15,0.4125,0.5875,0.0559,0.0642,0.6845,0.0971,0.0011,0.0003,0.51478359,0.97779457
American University,7669,908905000,53889,50329,0.7884,0.4063,14,17,1386,11,11,0.3583,0.6417,0.0674,0.076,0.5598,0.1213,0.0004,0.0007,0.66159086,0.941263007
Gallaudet University,910,191649039,17712,32840,0.5809,0.5921,11,11,896,11,6,0.478,0.522,0.0505,0.1747,0.4187,0.2176,0.0066,0.0088,0.74414921,0.99860302
George Washington University,10798,2340361000,62200,66952,0.8365,0.4898,15,17,1420,11,12,0.3712,0.6288,0.1355,0.0771,0.498,0.1301,0.0006,0.001,0.71076397,0.95158903
Georgetown University,7343,3210032000,62052,76027,0.9444,0.1223,14,17,1507,11,11,0.4201,0.5799,0.1419,0.0511,0.5017,0.0716,0.0008,0.0014,0.72042113,0.981500432
Howard University,9243,862784000,31050,41194,0.6141,0.5343,12,17,1164,11,14,0.2761,0.7239,0.0356,0.6851,0.0031,0.0649,0.0117,0.0016,0.52500956,0.850082208
The Baptist College of Florida,254,8326187,12450,28842,0.4406,0.9211,7,7,1045,32,8,0.4961,0.5039,0.0276,0.0709,0.748,0.0236,0.0118,0,0.43401123,0.999956113
Bethune-Cookman University,2628,33794414,14794,29605,0.3642,0.8497,10,11,903,13,15,0.3695,0.6305,0.0004,0.804,0.0068,0.0582,0.0019,0,0.35014675,0.950287406
Lynn University,2789,35987284,41550,33694,0.5966,0.8011,12,11,1126,13,18,0.4891,0.5109,0.0169,0.1008,0.4873,0.1972,0.0022,0.0007,0.71319929,0.99965716
Johnson University Florida,154,1928898,18614,34857,0.3483,0.7931,11,8,960,21,10,0.6364,0.3636,0.0065,0.2273,0.2792,0.2662,0.0065,0,0.79943513,0.945630942
University of Central Florida,57874,174724636,6368,41960,0.7308,0.4104,9,15,1281,21,29,0.4504,0.5496,0.0737,0.0981,0.4474,0.3011,0.0012,0.0011,0.69411408,0.99288979
Eckerd College,1986,75413467,48900,27000,0.6499,0.6509,12,11,1238,11,11,0.2991,0.7009,0.0206,0.0247,0.7618,0.0916,0.002,0.001,0.41023075,0.880187962
Embry-Riddle Aeronautical University-Daytona Beach,7155,166178000,40564,67135,0.6488,0.6453,12,13,1237,13,18,0.7477,0.2523,0.0488,0.0492,0.5755,0.15,0.0024,0.0017,0.64148902,0.814903228
Florida Agricultural and Mechanical University,7436,98299059,5785,34146,0.586,0.3293,13,13,1077,12,14,0.3354,0.6646,0.0034,0.9013,0.028,0.0464,0.0007,0,0.1847093,0.920348651
Florida Atlantic University,23074,334780801,4879,41482,0.6177,0.8132,9,15,1112,13,22,0.4225,0.5775,0.0392,0.1869,0.4039,0.2895,0.0013,0.0011,0.71658339,0.982599557
Flagler College,2591,93200395,23760,36632,0.6253,0.8095,13,10,1168,23,14,0.3165,0.6835,0.0104,0.0336,0.7267,0.1235,0.0019,0.0019,0.45541052,0.90053465
Florida College,550,18635137,18060,30927,0.5628,0.7168,10,8,1114,21,11,0.4691,0.5309,0.0218,0.0345,0.7673,0.0691,0.0127,0.0073,0.40459583,0.997243244
Florida Institute of Technology,3114,88925472,43670,69606,0.6205,0.6437,13,14,1213,13,14,0.6827,0.3173,0.0177,0.0491,0.5453,0.1416,0.0032,0.001,0.67986201,0.901421105
Florida International University,39277,284292410,6565,40919,0.6867,0.6386,9,15,1154,21,24,0.4377,0.5623,0.026,0.1158,0.0915,0.6685,0.0006,0.0005,0.53064925,0.988771805
Florida Southern College,2702,106785429,40500,40861,0.6599,0.5661,12,14,1206,12,14,0.3727,0.6273,0.0252,0.0607,0.6884,0.1484,0.0056,0.0004,0.49973183,0.952722687
Florida State University,32691,898119860,5656,40895,0.8236,0.2504,15,15,1309,12,17,0.4283,0.5717,0.0343,0.0779,0.5831,0.2304,0.0012,0.0007,0.5996634,0.985115266
University of Florida,33673,2272548000,6381,48898,0.8799,0.2335,15,16,1397,12,16,0.4374,0.5626,0.112,0.0505,0.5078,0.2407,0.0006,0.0004,0.6691079,0.988663122
Jacksonville University,2541,55653324,43670,65551,0.5299,0.5769,11,14,1165,11,13,0.3802,0.6198,0.0244,0.1739,0.5081,0.1484,0.0035,0.0035,0.68895076,0.958183154
University of Miami,12215,1344283912,57194,54633,0.807,0.1894,15,16,1409,13,13,0.4675,0.5325,0.0451,0.0899,0.4679,0.2354,0.0013,0.0007,0.71553823,0.996950157
University of North Florida,13866,126531762,6389,44241,0.6551,0.705,9,15,1104,11,19,0.4277,0.5723,0.0589,0.1152,0.5834,0.1588,0.0026,0.0008,0.61767935,0.984864223
Nova Southeastern University,6885,200766000,36300,66811,0.614,0.758,12,16,1164,21,17,0.2784,0.7216,0.1197,0.1468,0.2681,0.3441,0.0015,0.001,0.773836,0.853261528
Palm Beach Atlantic University,2396,97755000,35900,39993,0.5366,0.9466,13,11,1126,12,11,0.3431,0.6569,0.0184,0.0868,0.5897,0.1807,0.0029,0.0013,0.61171852,0.927754345
Rollins College,2567,467238000,56110,38844,0.7577,0.4999,12,11,1265,21,11,0.4036,0.5964,0.0343,0.058,0.5836,0.171,0.0008,0.0016,0.62562635,0.973017545
Saint Leo University,6717,67564541,27050,47100,0.3804,0.801,9,12,1102,23,18,0.3893,0.6107,0.0122,0.2013,0.2922,0.1711,0.0042,0.001,0.84465478,0.964346328
University of South Florida,36763,604516638,6410,43017,0.7404,0.4393,9,15,1235,11,22,0.4333,0.5667,0.0831,0.0803,0.4551,0.2248,0.0015,0.001,0.728992,0.98712487
Stetson University,2517,352639796,52320,36146,0.638,0.938,10,14,1205,13,11,0.4323,0.5677,0.0179,0.1172,0.5256,0.1971,0.0008,0.0016,0.67083678,0.986734713
Trinity Baptist College,319,95233,14300,29966,0.3517,0.4959,11,8,987,11,10,0.5674,0.4326,0.0063,0.185,0.6583,0.0972,0.0031,0.0031,0.52290936,0.986852377
Trinity College of Florida,175,842253,16300,32304,0.4774,0.5977,11,8,966,21,12,0.5429,0.4571,0.0286,0.2343,0.4571,0.2114,0.0057,0,0.69062269,0.994683165
Warner University,738,6604180,28044,37754,0.4866,0.551,15,8,968,41,13,0.5271,0.4729,0.0054,0.3415,0.3875,0.1924,0.0041,0.0014,0.69615581,0.997879902
The University of West Florida,8806,86874886,6360,53046,0.5729,0.4803,9,12,1166,13,22,0.4182,0.5818,0.034,0.1008,0.6229,0.1092,0.0044,0.0025,0.5887287,0.980606103
Abraham Baldwin Agricultural College,3160,19053103,3165,46733,0.3099,0.6696,6,10,986,32,19,0.4123,0.5877,0.0085,0.0842,0.7949,0.0858,0.0019,0.0009,0.35360604,0.977692412
Agnes Scott College,923,218548954,45786,22347,0.7394,0.6652,12,11,1276,21,11,0,1,0.0574,0.3164,0.3705,0.1441,0.0011,0.0033,0.73854912,0
Point University,1041,5259269,22300,29888,0.4114,0.242,7,7,990,32,13,0.4947,0.5053,0.0048,0.2286,0.4976,0.0922,0.0077,0.0019,0.6915495,0.999918948
Clark Atlanta University,3419,92509648,24730,24968,0.4438,0.5626,10,14,974,11,16,0.2357,0.7643,0.0006,0.5949,0.0041,0.0015,0.0012,0,0.64607313,0.787816104
Berry College,2232,1236197740,39376,39985,0.6999,0.6631,12,11,1210,23,12,0.3692,0.6308,0.0291,0.0811,0.7267,0.103,0.0022,0.0009,0.45386844,0.95005585
College of Coastal Georgia,2812,11706195,3483,39664,0.3264,0.9833,7,9,997,13,23,0.2966,0.7034,0.0174,0.2048,0.5928,0.0797,0.0021,0.0014,0.5999839,0.87709497
Clayton  State University,4540,17554648,5068,40178,0.4498,0.5632,9,12,980,21,16,0.3018,0.6982,0.0573,0.6526,0.1077,0.1112,0.0029,0.0013,0.54685512,0.883480089
Columbus State University,5637,83722548,5751,44821,0.443,0.878,7,12,1020,12,17,0.4169,0.5831,0.0277,0.3912,0.4213,0.085,0.0028,0.002,0.66146474,0.979981861
Covenant College,808,53641234,38860,31880,0.6754,0.8413,12,8,1315,41,12,0.4728,0.5272,0.0297,0.0124,0.8738,0.005,0.0087,0.0012,0.23533558,0.997864219
Emory University,7017,11155404520,57948,61856,0.9202,0.1135,15,17,1493,11,9,0.4284,0.5716,0.237,0.0852,0.3311,0.1142,0.0004,0.0001,0.81390294,0.9851569
Fort Valley State University,2347,13200000,5832,28523,0.4111,0.4309,12,11,871,31,20,0.3575,0.6425,0.0047,0.9242,0.0183,0.0234,0.0004,0,0.14494966,0.940588414
Georgia Institute of Technology-Main Campus,17379,2927741911,11764,87556,0.9111,0.1713,15,17,1480,11,19,0.6018,0.3982,0.2993,0.0787,0.3837,0.0819,0.0006,0.0003,0.75029207,0.969887919
Georgia Southwestern State University,2092,35924941,4980,43243,0.4358,0.7318,7,10,1075,32,17,0.347,0.653,0.0196,0.315,0.5492,0.0684,0.0019,0.0005,0.59408778,0.931360226
Georgia College & State University,5185,57612368,8974,46362,0.629,0.7995,12,13,1144,32,15,0.3524,0.6476,0.0158,0.0334,0.8322,0.0638,0.0014,0.001,0.30200456,0.936193214
Georgia Southern University,20996,98401763,6485,43987,0.5391,0.8889,10,16,1057,32,22,0.4279,0.5721,0.02,0.2566,0.5772,0.0797,0.0031,0.001,0.5942339,0.98494814
Georgia State University,28439,219510836,8478,37719,0.5633,0.6678,8,15,1127,11,26,0.4042,0.5958,0.1591,0.4238,0.1807,0.1417,0.0008,0.0005,0.74234848,0.973354479
University of Georgia,30566,1685035351,11180,48074,0.868,0.4255,15,16,1335,12,17,0.4194,0.5806,0.1211,0.0624,0.6778,0.0732,0.0006,0.0006,0.51666923,0.981173431
Gordon State College,2663,4249951,3475,40047,0.2394,0.9332,6,10,952,32,21,0.3526,0.6474,0.0064,0.4179,0.4769,0.0544,0,0.0004,0.5949255,0.936368666
Life University,910,3477455,14406,36599,0.452,0.9777,11,11,983,13,13,0.5066,0.4934,0.0275,0.2637,0.3088,0.1813,0.0209,0,0.80104212,0.999874309
Mercer University,4568,452556294,39708,51273,0.6362,0.7468,15,14,1288,12,13,0.357,0.643,0.0819,0.3054,0.4477,0.0762,0.0013,0.0009,0.693779,0.940164752
Morehouse College,2564,246017759,29468,39210,0.5686,0.6001,12,11,1090,11,10,0.9996,0.0004,0,0.9844,0.002,0.0004,0.0004,0,0.03095232,0.005092048
Oglethorpe University,1426,41533040,43990,29791,0.474,0.7099,12,11,1207,21,16,0.3752,0.6248,0.04,0.2265,0.3724,0.2286,0.0035,0.0007,0.75614529,0.954581273
Piedmont University,1212,43570462,29190,51333,0.5303,0.6435,11,11,1108,32,11,0.3094,0.6906,0.014,0.1262,0.6724,0.1048,0.0017,0,0.52076987,0.892479647
Savannah College of Art and Design,13352,255300000,39605,25862,0.6987,0.8173,9,16,1179,12,20,0.301,0.699,0.0613,0.1154,0.5246,0.0689,0.0058,0.0022,0.7029343,0.882509859
Shorter University,1121,14657745,22810,38589,0.4947,0.9747,11,11,1059,13,15,0.4558,0.5442,0.0125,0.1927,0.6218,0.0963,0.008,0.0027,0.56673024,0.994355622
Thomas University,726,6654592,11080,47749,0.5105,0.4609,6,6,1010,32,12,0.478,0.522,0.0193,0.2507,0.3636,0.0592,0.0028,0,0.80105958,0.99860302
Toccoa Falls College,835,3469987,22350,30937,0.4874,0.6801,13,8,1114,32,17,0.3916,0.6084,0.0311,0.1078,0.7365,0.0671,0.0012,0.0024,0.44047009,0.965824326
Truett McConnell University,828,6435557,24440,36700,0.4102,0.8083,10,8,1077,32,16,0.4867,0.5133,0.0097,0.0833,0.7403,0.0519,0.006,0.0012,0.44219188,0.999489543
Valdosta State University,7277,64362137,6007,38761,0.448,0.8947,6,13,1027,13,17,0.3294,0.6706,0.0144,0.3889,0.4356,0.1068,0.0018,0.0014,0.64739063,0.914312181
University of West Georgia,7939,36358201,5941,39461,0.5001,0.8012,7,13,1026,31,16,0.3553,0.6447,0.0108,0.3319,0.4959,0.0899,0.0016,0.001,0.63572337,0.938712543
University of Hawaii at Hilo,2381,293175,7838,35755,0.4319,0.8424,11,10,1020,33,12,0.3549,0.6451,0.1336,0.0122,0.2083,0.1592,0.005,0.0785,0.90708142,0.938368203
University of Hawaii at Manoa,13915,46589268,12186,40620,0.6481,0.7277,13,16,1113,11,14,0.3983,0.6017,0.336,0.0148,0.2042,0.1388,0.0023,0.0203,0.8255045,0.969947468
Hawaii Pacific University,2650,48225650,31940,47103,0.3841,0.871,7,9,1173,11,16,0.3355,0.6645,0.1679,0.0645,0.294,0.2098,0.0053,0.0185,0.83682696,0.920447279
University of Hawaii-West Oahu,2491,244196,7584,41421,0.4981,0.9637,7,9,1033,21,17,0.3485,0.6515,0.3649,0.0181,0.0807,0.1538,0.0012,0.0446,0.83436285,0.932721289
Boise Bible College,95,697969,9770,32039,0.5041,1,11,8,950,21,11,0.5579,0.4421,0,0.0421,0.8842,0.0316,0,0.0105,0.21530914,0.990305254
University of Idaho,7120,372857803,8396,40058,0.602,0.7385,13,13,1129,32,16,0.4999,0.5001,0.0162,0.0111,0.7493,0.107,0.0091,0.0018,0.42662881,0.999999971
The College of Idaho,1052,111180504,34630,32139,0.6589,0.4552,12,11,1175,22,10,0.4952,0.5048,0.019,0.0209,0.5485,0.1397,0.0076,0.0067,0.6787312,0.99993352
Lewis-Clark State College,2344,11514532,6999,47990,0.4637,0.8677,7,9,940,13,15,0.3652,0.6348,0.006,0.0132,0.7709,0.09,0.0188,0.0034,0.39703795,0.946915097
Northwest Nazarene University,1115,53597223,36298,43773,0.6255,0.8819,10,11,1139,22,13,0.4368,0.5632,0.0126,0.0179,0.748,0.1336,0.0063,0.0045,0.42210793,0.988444173
Brigham Young University-Idaho,42213,163625000,4536,40371,0.6261,0.9556,5,15,1107,32,19,0.4379,0.5621,0.0143,0.0274,0.6356,0.1879,0.0022,0.0071,0.55969573,0.988843967
Augustana College,2274,196811090,47916,38767,0.7181,0.6122,12,11,1145,13,11,0.4538,0.5462,0.0281,0.0387,0.6073,0.1288,0.0009,0,0.61230916,0.993832514
